"","runner","gender","age","course","vp","time"
"1",1,0,27,7,0,132.9
"2",1,0,30,42,0,133.6833333
"3",1,0,30.5,60,0,133.2666667
"5",2,0,28,22,0,133.8666667
"6",2,0,29,46,0,132.7333333
"7",3,0,39,31,0,131.3833333
"8",3,0,40,40,1,132.75
"9",3,0,40,50,1,132.8
"10",3,0,41,58,1,148.3
"11",3,0,42,76,1,138.9333333
"12",3,0,42,85,1,131.5666667
"13",4,0,27,20,0,138.0833333
"14",4,0,29,58,1,143.2666667
"16",5,0,34,22,0,131.3833333
"17",5,0,35,42,1,129.8
"18",5,0,36,60,1,127.8666667
"22",6,1,28,1,0,146.8666667
"27",7,1,29,17,0,152.7166667
"28",8,1,28,17,0,151.65
"29",9,0,31,6,0,135.5833333
"30",9,0,31,17,0,135.8833333
"31",10,0,32,13,0,138
"32",11,0,30.75,3,0,140.9666667
"33",11,0,31,13,0,141.0333333
"34",11,0,32,45,0,147.4
"35",11,0,32,36,0,139.4833333
"36",11,0,35,77,1,140.3
"37",11,0,33.75,60,0,143.9333333
"38",12,1,35,1,0,158.7833333
"39",12,1,36,39,0,158.9333333
"41",13,1,38,26,0,153.3166667
"42",14,1,30,22,0,152.2166667
"43",15,1,35.25,20,0,169.9833333
"44",15,1,38,76,0,171.2333333
"45",15,1,39,77,0,171.6666667
"46",15,1,35,26,0,164.9333333
"47",15,1,34,14,0,171.8
"49",16,0,27,78,1,134.9333333
"50",16,0,24,30,0,153.5166667
"51",16,0,24,25,0,141.8833333
"52",16,0,25,42,0,138.7833333
"54",17,0,25,82,0,130.0333333
"55",17,0,25,86,0,128.0333333
"56",17,0,22,35,0,130.35
"57",17,0,25,85,0,128.6
"58",18,1,27,1,0,149.3833333
"59",19,0,36,54,0,132.4833333
"60",19,0,35,28,0,134.4166667
"61",20,0,24,21,0,142.7166667
"63",21,1,30,40,0,167.6166667
"64",21,1,29,2,0,164.5833333
"65",21,1,28.5,3,0,165.8333333
"66",21,1,28,9,0,173.1833333
"67",21,1,32,70,0,163.7166667
"68",21,1,29.5,39,0,173.5166667
"69",22,1,27,2,0,163.5833333
"70",22,1,29,50,0,177.6666667
"72",23,1,27,22,0,154
"73",23,1,28,42,0,154.4166667
"74",23,1,30,85,1,157.15
"75",23,1,27,39,0,155.7833333
"76",24,1,26,26,0,155.5833333
"77",24,1,28,50,0,153.3
"78",24,1,30,85,0,148.2
"79",25,1,34,59,0,160.2833333
"80",25,1,32,37,0,162.1166667
"82",25,1,32,39,0,162.6
"83",26,1,28.6666666666667,60,1,158.0666667
"84",26,1,29,81,0,155.0666667
"85",26,1,28,50,0,169.7333333
"86",26,1,27,33,0,163.5166667
