"","x"
"1","2015-Boston Marathon"
"2","2015-Cal Intl Marathon"
"3","2015-Chicago Marathon"
"4","2015-Columbus Marathon"
"5","2015-Eugene Marathon"
"6","2015-Grandma's Marathon"
"7","2015-Houston Marathon"
"8","2015-Indianapolis Mon Marathon"
"9","2015-LA Marathon"
"10","2015-Lakefront Marathon"
"11","2015-New York City Marathon"
"12","2015-Ottawa Marathon"
"13","2015-Philadelphia Marathon"
"14","2015-Phoenix Marathon"
"15","2015-Richmond Marathon"
"16","2015-Toronto Waterfront Marathon"
"17","2015-Twin Cities Marathon"
"18","2015-Vancouver Intl Marathon"
"19","2015-Vermont City Marathon"
"20","2016-Boston Marathon"
"21","2016-Cal Intl Marathon"
"22","2016-Chicago Marathon"
"23","2016-Columbus Marathon"
"24","2016-Eugene Marathon"
"25","2016-Grandma's Marathon"
"26","2016-Houston Marathon"
"27","2016-Indianapolis Mon Marathon"
"28","2016-LA Marathon"
"29","2016-Marine Corps Marathon"
"30","2016-Men's Olympic Trials Marathon"
"31","2016-New York City Marathon"
"32","2016-Ottawa Marathon"
"33","2016-Philadelphia Marathon"
"34","2016-Richmond Marathon"
"35","2016-Toronto Waterfront Marathon"
"36","2016-Twin Cities Marathon"
"37","2016-Vancouver Intl Marathon"
"38","2016-Vermont City Marathon"
"39","2016-Women's Olympic Trials Marathon"
"40","2017-Boston Marathon"
"41","2017-Cal Intl Marathon"
"42","2017-Chicago Marathon"
"43","2017-Columbus Marathon"
"44","2017-Eugene Marathon"
"45","2017-Grandma's Marathon"
"46","2017-Houston Marathon"
"47","2017-Indianapolis Mon Marathon"
"48","2017-LA Marathon"
"49","2017-Marine Corps Marathon"
"50","2017-New York City Marathon"
"51","2017-Ottawa Marathon"
"52","2017-Philadelphia Marathon"
"53","2017-Richmond Marathon"
"54","2017-Toronto Waterfront Marathon"
"55","2017-Twin Cities Marathon"
"56","2017-Vermont City Marathon"
"57","2017-Wineglass Marathon"
"58","2018-Boston Marathon"
"59","2018-Cal Intl Marathon"
"60","2018-Chicago Marathon"
"61","2018-Columbus Marathon"
"62","2018-Eugene Marathon"
"63","2018-Grandma's Marathon"
"64","2018-Houston Marathon"
"65","2018-Indianapolis Mon Marathon"
"66","2018-LA Marathon"
"67","2018-Marine Corps Marathon"
"68","2018-New York City Marathon"
"69","2018-Ottawa Marathon"
"70","2018-Philadelphia Marathon"
"71","2018-Richmond Marathon"
"72","2018-Toronto Waterfront Marathon"
"73","2018-Twin Cities Marathon"
"74","2018-Vancouver Intl Marathon"
"75","2018-Vermont City Marathon"
"76","2019-Boston Marathon"
"77","2019-Cal Intl Marathon"
"78","2019-Chicago Marathon"
"79","2019-Columbus Marathon"
"80","2019-Eugene Marathon"
"81","2019-Grandma's Marathon"
"82","2019-Houston Marathon"
"83","2019-Indianapolis Mon Marathon"
"84","2019-LA Marathon"
"85","2019-New York City Marathon"
"86","2019-Ottawa Marathon"
"87","2019-Philadelphia Marathon"
"88","2019-Phoenix Marathon"
"89","2019-Richmond Marathon"
"90","2019-Toronto Waterfront Marathon"
"91","2019-Twin Cities Marathon"
"92","2019-Vancouver Intl Marathon"
"93","2019-Vermont City Marathon"
"94","2019-Wineglass Marathon"
