"","runner","gender","age","course","vp","time"
"1",1,0,27,7,0,132.9
"2",1,0,30,42,0,133.6833333
"3",1,0,30.5,63,0,133.2666667
"5",2,0,28,22,0,133.8666667
"6",2,0,29,46,0,132.7333333
"7",3,0,39,31,0,131.3833333
"8",3,0,40,40,1,132.75
"9",3,0,40,51,1,132.8
"10",3,0,41,61,1,148.3
"11",3,0,42,80,1,138.9333333
"12",3,0,42,89,1,131.5666667
"13",4,0,27,20,0,138.0833333
"14",4,0,29,61,1,143.2666667
"16",6,0,34,22,0,131.3833333
"17",6,0,35,42,1,129.8
"18",6,0,36,63,1,127.8666667
"22",8,1,28,1,0,146.8666667
"27",11,1,29,17,0,152.7166667
"28",12,1,28,17,0,151.65
"29",13,0,31,6,0,135.5833333
"30",13,0,31,17,0,135.8833333
"31",14,0,32,13,0,138
"32",15,0,30.75,3,0,140.9666667
"33",15,0,31,13,0,141.0333333
"34",15,0,32,45,0,147.4
"35",15,0,32,36,0,139.4833333
"36",15,0,35,81,1,140.3
"37",15,0,33.75,63,0,143.9333333
"38",16,1,35,1,0,158.7833333
"39",16,1,36,39,0,158.9333333
"41",18,1,38,26,0,153.3166667
"42",19,1,30,22,0,152.2166667
"43",20,1,35.25,20,0,169.9833333
"44",20,1,38,80,0,171.2333333
"45",20,1,39,81,0,171.6666667
"46",20,1,35,26,0,164.9333333
"47",20,1,34,14,0,171.8
"49",21,0,27,82,1,134.9333333
"50",21,0,24,30,0,153.5166667
"51",21,0,24,25,0,141.8833333
"52",21,0,25,42,0,138.7833333
"54",22,0,25,86,0,130.0333333
"55",22,0,25,90,0,128.0333333
"56",22,0,22,35,0,130.35
"57",22,0,25,89,0,128.6
"58",23,1,27,1,0,149.3833333
"59",24,0,36,56,0,132.4833333
"60",24,0,35,28,0,134.4166667
"61",25,0,24,21,0,142.7166667
"63",26,1,30,40,0,167.6166667
"64",26,1,29,2,0,164.5833333
"65",26,1,28.5,3,0,165.8333333
"66",26,1,28,9,0,173.1833333
"67",26,1,32,73,0,163.7166667
"68",26,1,29.5,39,0,173.5166667
"69",27,1,27,2,0,163.5833333
"70",27,1,29,51,0,177.6666667
"72",29,1,27,22,0,154
"73",29,1,28,42,0,154.4166667
"74",29,1,30,89,1,157.15
"75",29,1,27,39,0,155.7833333
"76",30,1,26,26,0,155.5833333
"77",30,1,28,51,0,153.3
"78",30,1,30,89,0,148.2
"79",31,1,34,62,0,160.2833333
"80",31,1,32,37,0,162.1166667
"82",31,1,32,39,0,162.6
"83",32,1,28.6666666666667,63,1,158.0666667
"84",32,1,29,85,0,155.0666667
"85",32,1,28,51,0,169.7333333
"86",32,1,27,33,0,163.5166667
